Device ID,LBR-0013797,,                                     ,,,,,,,,,,,,,
                                                             ,Grey Birch,Eley Force,,,,,,,,,,,,,,
Series No,40,,                                            ,,,,,,,,,,,,,
Total number of shots,26,,                                ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Units velocity,fps,,                                        ,,,,,,,,,,,,,
Units distances,m,,                                         ,,,,,,,,,,,,,
Units kinetic energy,ft-lbf,,                               ,,,,,,,,,,,,,
Units weight,grain (gr),,                                   ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Stats - Average,1255.8,fps,1255.769231,,,,,,,,,,,,,
Stats - Highest,1287.68,fps,1288,,,,,,,,,,,,,
Stats - Lowest,1216.85,fps,1217,,,,,,,,,,,,,
Stats - Ext. Spread,70.83,fps,71,,,,,,,,,,,,,
Stats - Std. Dev,18.49,fps,18.50688022,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shot ID,V0,V10,V20,V30,V41,V50,Ke0,Ke10,Ke20,Ke30,Ke41,Ke50,PF10,Proj. Weight,Date,Time
1,1257,1213,1171,1131,1091,1066,126,117,109,102,95,90,43.67,36,06-07-2021,17:40:23
2,1263,1217,1173,1131,1088,1061,127,118,109,102,94,90,43.81,36,06-07-2021,17:41:25
3,1244,1203,1165,1128,1091,1078,123,115,108,101,95,92,43.31,36,06-07-2021,17:41:37
4,1250,1207,1166,1127,1091,1091,124,116,108,101,95,95,43.45,36,06-07-2021,17:41:45
5,1266,1225,1185,1147,1109,1089,128,120,112,105,98,94,44.1,36,06-07-2021,17:43:42
6,1236,1192,1152,1114,1077,1065,122,113,106,99,92,90,42.91,36,06-07-2021,17:45:32
7,1240,1198,1157,1120,1083,1065,122,114,106,100,93,90,43.13,36,06-07-2021,17:46:36
8,1237,1197,1158,1123,1084,1062,122,114,107,100,93,90,43.09,36,06-07-2021,17:47:18
9,1252,1209,1169,1132,1092,1063,125,116,109,102,95,90,43.52,36,06-07-2021,17:47:30
10,1274,1226,1178,1135,1093,1069,129,120,110,102,95,91,44.14,36,06-07-2021,17:48:04
11,1258,1215,1173,1132,1091,1062,126,117,109,102,95,90,43.74,36,06-07-2021,17:48:18
12,1217,1176,1134,1094,1061,1038,118,110,102,95,90,86,42.34,36,06-07-2021,17:48:26
13,1250,1209,1168,1131,1091,1071,124,116,109,102,95,91,43.52,36,06-07-2021,17:48:31
14,1260,1217,1177,1140,1102,1090,126,118,110,103,96,95,43.81,36,06-07-2021,17:48:40
15,1251,1209,1167,1131,1089,1067,125,116,108,102,94,90,43.52,36,06-07-2021,17:48:46
16,1232,1192,1154,1117,1081,1060,121,113,106,99,93,89,42.91,36,06-07-2021,17:48:55
17,1288,1242,1199,1158,1113,0,132,123,114,107,99,0,44.71,36,06-07-2021,17:49:01
18,1237,1194,1151,1111,1074,1054,122,113,105,98,92,88,42.98,36,06-07-2021,17:49:38
19,1284,1236,1191,1147,1103,1071,131,122,113,105,97,91,44.5,36,06-07-2021,17:49:44
20,1265,1218,1173,1131,1088,1063,127,118,109,102,94,90,43.85,36,06-07-2021,17:50:08
21,1258,1213,1169,1128,1086,1061,126,117,109,101,94,90,43.67,36,06-07-2021,17:50:17
22,1271,1227,1185,1146,1103,1076,129,120,112,105,97,92,44.17,36,06-07-2021,17:50:26
23,1231,1188,1145,1105,1069,1048,121,112,104,97,91,87,42.77,36,06-07-2021,17:50:37
24,1261,1217,1176,1139,1099,1068,127,118,110,103,96,91,43.81,36,06-07-2021,17:50:41
25,1285,1241,1199,1159,1119,1111,131,123,114,107,100,98,44.68,36,06-07-2021,17:50:53
26,1283,1236,1191,1150,1108,1108,131,122,113,105,98,98,44.5,36,06-07-2021,17:51:30